route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Henderson Hopper Via McLaren Park And Sturges Rd,3,,NZBGW,14501-20170524122152_v54.17,,145
Albany Station To Newmarket Via Ponsonby,3,,NZBNS,96201-20170524122152_v54.17,,962
Howick Intermediate To Manukau City Centre,3,,HE,58004-20170524122152_v54.17,,580
Westlake Schools To Devonport,3,,RTH,01758-20170524122152_v54.17,,017
Accent Dr To Howick Schools,3,,HE,31751-20170524122152_v54.17,,317
Midtown To Rosebank Rd Express,3,,NZBGW,22104-20170524122152_v54.17,,221X
Civic Centre To Howick Via Pakuranga (S),3,,HE,52502-20170524122152_v54.17,,N50
Glendowie College To Remuera,3,,NZBML,07252-20170524122152_v54.17,,072
Army Bay To Whangaparaoa College,3,,BAYES,01951-20170524122152_v54.17,,019
Britomart To Cockle Bay Via Newmarket,3,,HE,55002-20170524122152_v54.17,,550
Avondale College To Forrest Hill,3,,RTH,05658-20170524122152_v54.17,,056
Mt Wellington To Ellerslie Penrose Schools,3,,NZBML,06253-20170524122152_v54.17,,062
St Josephs School To Takapuna Via Milford And Crown Hill,3,,RTH,02258-20170524122152_v54.17,,022
Ranui To City Centre Express,3,,NZBGW,13011-20170524122152_v54.17,,13X
Somerville Intermediate To Redcastle Dr,3,,HE,31752-20170524122152_v54.17,,317
Auckland 2 To Waiheke Island 1,4,,FGL,98012-20170524122152_v54.17,,MTIA
Manukau Train Station to Britomart Train Station,2,,AM,50157-20170524122152_v54.17,,EAST
Glenfield To Westlake Schools Via Marlborough,3,,NZBNS,03751-20170524122152_v54.17,,037
Britomart To Albany Station (S),3,,RTH,10006-20170524122152_v54.17,,NEX
City Centre To Hobsonville,3,,RTH,09202-20170524122152_v54.17,,092
Westgate To City Centre Via Don Buck Rd,3,,RTH,08101-20170524122152_v54.17,,081
Bayswater To Auckland Via Northcote Point and Birkenhead,4,,FGL,90013-20170524122152_v54.17,,BAYS
Papakura Train Station to Pukekohe Train Station,2,,AM,30116-20170524122152_v54.17,,PUK
Kowhai Rd To Long Bay College,3,,NZBNS,04951-20170524122152_v54.17,,049
Whangaparaoa College To Silverdale,3,,BAYES,01760-20170524122152_v54.17,,017
"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoe (S)",3,,GBT,10028-20170524122152_v54.17,,N10
