"School","L1","L2","L3","UE","Decile","Region"
"St Kevin's College",0.825,0.901,0.906,0.844,7,"Dunedin/Otago"
"St Margaret's College",1,1,0.989,0.966,10,"Christchurch/Canterbury"
"St Mary's College (Auckland)",0.977,0.994,0.93,0.886,8,"Auckland"
"St Mary's College (Wellington)",0.949,0.967,0.913,0.88,9,"Wellington/Kapiti"
"St Mary's Diocesan School",0.97,1,0.944,0.722,5,"New Plymouth/Taranaki"
"St Matthew's Collegiate (Masterton)",1,NA,NA,NA,9,"Wairarapa"
"St Oran's College",0.986,0.987,0.971,0.928,10,"Wellington/Kapiti"
"St Patrick's College (Silverstream)",0.948,0.935,0.853,0.664,8,"Wellington/Kapiti"
"St Patrick's College (Wellington)",0.872,0.935,0.806,0.714,8,"Wellington/Kapiti"
"St Paul's College - Auckland",0.902,0.921,0.964,0.552,2,"Auckland"
"St Paul's Collegiate School",0.982,0.986,0.912,0.791,9,"Hamilton/Waikato"
"St Peter's College (Auckland)",0.982,0.929,0.97,0.931,8,"Auckland"
"St Peter's College (Gore)",1,0.938,0.841,0.727,8,"Invercargill/Southland"
"St Peter's College (Palmerston North)",0.843,0.936,0.9,0.68,6,"Palmerston North/Manawatu"
"St Peter's School (Cambridge)",0.949,0.951,0.94,0.808,9,"Hamilton/Waikato"
"St Thomas of Canterbury College",0.815,0.924,0.833,0.646,8,"Christchurch/Canterbury"
"Stratford High School",0.714,0.75,0.76,0.5,4,"New Plymouth/Taranaki"
"Tai Wananga",0.974,0.906,0.727,0.435,4,"Hamilton/Waikato"
"Taieri College",0.888,0.896,0.692,0.513,7,"Dunedin/Otago"
"Taihape Area School",0.964,0.955,0.8,0.727,4,"Palmerston North/Manawatu"
"Taipa Area School",0.676,0.87,0.833,0.833,2,"Northland"
"Taita College",0.72,0.882,0.588,0.353,2,"Wellington/Kapiti"
"Takapuna Grammar School",0.945,0.937,0.887,0.754,10,"Auckland"
"Tamaki College",0.471,0.698,0.471,0.152,1,"Auckland"
"Tamatea High School",0.967,0.978,0.886,0.343,3,"Hawkes Bay"
"Tangaroa College",0.811,0.826,0.891,0.355,1,"Auckland"
"Tapawera Area School",0.7,1,1,1,4,"Nelson/Marlborough"
"Taradale High School",0.854,0.902,0.694,0.578,7,"Hawkes Bay"
"Tararua College",0.717,0.956,0.867,0.5,3,"Wairarapa"
"Tarawera High School",0.792,0.9,0.8,0.196,1,"Bay of Plenty"
"Tauhara College",0.86,0.936,0.813,0.583,6,"Taupo"
"Taumarunui High School",0.667,0.831,0.583,0.32,2,"New Plymouth/Taranaki"
"Taupo-Nui-A-Tia College",0.909,0.931,0.845,0.552,5,"Taupo"
"Tauranga Boys' College",0.843,0.777,0.858,0.588,6,"Bay of Plenty"
"Tauranga Girls' College",0.86,0.902,0.825,0.64,6,"Bay of Plenty"
"Tauraroa Area School",0.829,0.971,1,0.762,6,"Northland"
"Tawa College",0.887,0.924,0.698,0.565,8,"Wellington/Kapiti"
"Te Aho o Te Kura Pounamu",0.463,0.683,0.77,0.519,0,"All New Zealand"
"Te Ara Whanui Kura Kaupapa Maori o Nga Kohanga Reo o Te Awa ",0.5,1,NA,NA,3,"Wellington/Kapiti"
"Te Aroha College",0.767,0.887,0.639,0.432,4,"Hamilton/Waikato"
"Te Aute College",1,1,0.833,0.385,3,"Hawkes Bay"
"Te Awamutu College",0.817,0.827,0.713,0.369,5,"Hamilton/Waikato"
"Te Karaka Area School",NA,0.75,0.5,NA,2,"Gisborne/East Coast"
"Te Kauwhata College",0.736,0.818,0.828,0.448,4,"Hamilton/Waikato"
"Te Kuiti High School",0.574,0.771,0.643,0.5,2,"Hamilton/Waikato"
"Te Kura Hourua o Whangarei Terenga Paraoa (Partnership Schoo",0.923,0.8,0.667,0.667,0,"Northland"
"Te Kura Kaupapa Maori A Rohe O Mangere",0.9,1,0.667,NA,1,"Auckland"
"Te Kura Kaupapa Maori O Hoani Waititi",1,1,1,0.778,3,"Auckland"
"Te Kura Kaupapa Maori O Kaikohe",0.9,1,1,0.5,1,"Northland"
"Te Kura Kaupapa Maori O Kawakawa Mai Tawhiti",1,1,1,1,1,"Gisborne/East Coast"
"Te Kura Kaupapa Maori o Nga Uri a Maui",0.833,1,1,1,3,"Gisborne/East Coast"
"Te Kura Kaupapa Maori O Ngati Kahungunu ki Heretaunga",0.455,1,NA,0.5,1,"Hawkes Bay"
"Te Kura Kaupapa Maori o Puau Te Moananui-a-Kiwa",0.8,1,1,0.714,2,"Auckland"
"Te Kura Kaupapa Maori o Pukemiro",1,1,1,NA,1,"Northland"
